secs,nsecs,latitude,longitude,altitude
1453942813,32323391,40.757956234,-73.982143976,nan
1453942813,34000747,40.757956234,-73.982143976,nan
1453942814,49067737,40.757959649,-73.982140772,18.782
1453942814,51025999,40.757959649,-73.982140772,18.782
1453942815,16033151,40.757960294,-73.982141986,19.192
1453942815,17930664,40.757960294,-73.982141986,19.192
1453942816,33230527,40.757960294,-73.982141986,19.192
1453942816,35109394,40.757960294,-73.982141986,19.192
1453942817,43053975,40.757960294,-73.982141986,19.192
1453942817,44953467,40.757960294,-73.982141986,19.192
1453942818,8021670,40.757960294,-73.982141986,19.192
1453942818,9962467,40.757960294,-73.982141986,19.192
1453942819,25037572,40.757960294,-73.982141986,19.192
1453942819,26957446,40.757960294,-73.982141986,19.192
1453942820,9038811,40.757960294,-73.982141986,19.192
1453942820,10962501,40.757960294,-73.982141986,19.192
1453942821,23025744,40.757960294,-73.982141986,19.192
1453942821,25082534,40.757960294,-73.982141986,19.192
1453942822,39093321,40.757960294,-73.982141986,19.192
1453942822,40952476,40.757960294,-73.982141986,19.192
1453942823,48004847,40.757960294,-73.982141986,19.192
1453942823,49945415,40.757960294,-73.982141986,19.192
1453942824,20237450,40.757960294,-73.982141986,19.192
1453942824,21951133,40.757960294,-73.982141986,19.192
1453942825,34013544,40.757960294,-73.982141986,19.192
1453942825,35928189,40.757960294,-73.982141986,19.192
1453942826,57001340,40.757960294,-73.982141986,19.192
1453942826,58925544,40.757960294,-73.982141986,19.192
1453942827,34011083,40.757960294,-73.982141986,19.192
1453942827,35938941,40.757960294,-73.982141986,19.192
1453942828,53936201,40.757960294,-73.982141986,19.192
1453942828,55936914,40.757960294,-73.982141986,19.192
1453942829,32028690,40.757960294,-73.982141986,19.192
1453942829,33903100,40.757960294,-73.982141986,19.192
1453942830,8985351,40.757960294,-73.982141986,19.192
1453942830,10905526,40.757960294,-73.982141986,19.192
1453942831,34000637,40.757869911,-73.98201628,22.086
1453942831,35898612,40.757869911,-73.98201628,22.086
1453942832,61985448,40.757841572,-73.981965407,23.129
1453942832,63888789,40.757841572,-73.981965407,23.129
1453942833,28067676,40.757850786,-73.981948952,22.543
1453942833,29920712,40.757850786,-73.981948952,22.543
1453942834,50072200,40.757868966,-73.981921986,22.241
1453942834,51910962,40.757868966,-73.981921986,22.241
1453942835,27974603,40.757893182,-73.981886934,22.166
1453942835,29881625,40.757893182,-73.981886934,22.166
1453942836,49953086,40.75792448,-73.98185737,22.231
1453942836,51877694,40.75792448,-73.98185737,22.231
1453942837,21103799,40.757966074,-73.981833974,22.522
1453942837,23000131,40.757966074,-73.981833974,22.522
1453942838,42045467,40.758019074,-73.981809294,22.984
1453942838,43994680,40.758019074,-73.981809294,22.984
